HUC_12,pred,pred_proba,LAT,LONG
50200060302.0,0,0.023149593067800338,39.6331486,-79.3225814
50200060906.0,1,0.1655783192824453,40.0619179,-79.6943963
50200061104.0,1,0.14060436469662088,40.2107945,-79.6485484
50200061203.0,0,0.058272065799065464,40.2634473,-79.811082
50301010203.0,0,0.04412931097574632,40.368464,-80.3461841
50302020601.0,0,0.04394881484957123,38.8298772,-81.5619505
50302030505.0,0,0.030249694133538993,38.8279578,-81.0339861
50302030907.0,0,0.015609038892084514,39.1458671,-81.244956
50302040204.0,0,0.04605250663452531,39.6498014,-82.43739
50400030103.0,0,0.055117063883570454,40.4754518,-82.5233384
50400060402.0,1,0.22968242236556402,40.0494837,-82.7009201
50500030804.0,0,0.018053715228880326,37.8532636,-80.584659
50600010601.0,1,0.23412779858113347,40.3769174,-83.6037432
50701010501.0,0,0.00991917670689792,37.5404768,-81.7678523
50800010604.0,0,0.042169249657502204,40.2429127,-84.2634575
50800011103.0,1,0.0979576370159773,40.089238,-84.5267621
50800011904.0,0,0.03394382610792947,39.7819267,-84.121407
50800020204.0,1,0.1168434210954306,39.8570189,-84.628644
50800020301.0,0,0.06147053503713384,39.8036186,-84.6287861
50800030404.0,1,0.12058887980455435,39.6280206,-85.0996389
50902020204.0,0,0.059886191203985646,39.7172707,-84.1010519
51201020301.0,1,0.10300951471439725,40.5785581,-85.2707119
51201030203.0,1,0.17667740924503286,40.2730094,-85.0580466
51201030401.0,1,0.10119825283259504,40.2284044,-85.2448223
51201050502.0,0,0.04778164313601945,40.5761043,-86.3415405
51201050504.0,1,0.10067370372209303,40.6225458,-86.4377444
51201070107.0,1,0.0880443848804885,40.4636614,-85.953213
51202010104.0,0,0.054110907822181475,40.1060967,-85.0940155
51202010401.0,0,0.027747037031520178,40.3080065,-85.5272699
51202011303.0,1,0.14605378801679514,39.7914209,-86.4265417
51202040101.0,1,0.15441909002941573,39.9746136,-85.304567
51202040405.0,0,0.05894384146944565,39.7753449,-85.858557
51202080905.0,0,0.05055747398247331,38.8376699,-86.7439757
51202081101.0,0,0.03297250232352359,38.8454926,-86.8140978
51202081103.0,0,0.02643171828395113,38.7604096,-86.8602532
51301050401.0,0,0.009915528290460275,36.5090887,-84.9022386
51401021304.0,0,0.02760715790469839,37.9760374,-85.905382
70101030702.0,0,0.01739861253954212,47.0146656,-93.6078906
70102050703.0,1,0.06344778859542224,45.0280504,-93.6821543
70102060103.0,0,0.018288686857240246,45.0847528,-93.4955297
70102060203.0,0,0.0250400057458477,45.2261279,-93.2860148
70102060502.0,0,0.016597187840064857,44.9958889,-93.3621083
70200010501.0,0,0.051831336406907166,45.4137952,-96.9708144
70200010503.0,0,0.036624394562613564,45.3951589,-96.9166783
70200121104.0,0,0.021912246130112303,44.8674392,-93.4689935
70801010405.0,0,0.05040713570762536,41.607962,-90.5250771
70801010406.0,0,0.012924345337849545,41.5245434,-90.4957972
70801030404.0,0,0.028105457940809,41.8404669,-90.719533
70801050906.0,1,0.08675541903297761,41.7336423,-93.3981326
70802050505.0,0,0.013857656905210304,42.3299192,-92.5626835
70802070901.0,0,0.037952551991541926,42.504205,-93.1917934
70900060204.0,1,0.07751894128559059,42.3740843,-88.5407713
71000030802.0,0,0.0413135842905501,43.0795838,-94.2306412
71000040204.0,0,0.0205173399124817,42.5073961,-94.3420104
71000040704.0,0,0.027621335440655228,42.1345602,-93.9445589
71000050104.0,1,0.11040337169698526,42.8842878,-94.0086943
71000050301.0,1,0.07873599168981643,42.9159014,-93.8070672
71000050403.0,0,0.04646193288497828,42.6603534,-93.8233469
71000050605.0,0,0.027309901792143747,42.6039561,-93.9229056
71200010904.0,0,0.05104855018591624,41.2352537,-87.1551541
71200011403.0,1,0.06440805147557285,41.132958,-87.5977533
71200030305.0,0,0.03640221208660446,41.5728492,-87.4645123
71200030406.0,0,0.04756470575055676,41.6007052,-87.3763588
71200060802.0,0,0.0173837169259645,42.5119558,-88.305193
71200060904.0,0,0.05344055766147603,42.4005366,-88.4416058
71200061004.0,0,0.04193597943143987,42.4509805,-88.0818342
71200061201.0,0,0.015489446815201232,42.2078531,-88.3340614
71300010602.0,0,0.03311796335451334,41.4327873,-89.3365421
71300020201.0,1,0.09022829922948707,40.672725,-88.3026146
71300020802.0,0,0.05792388353059081,41.0145586,-88.9573042
71300040303.0,1,0.09556938385660643,40.6786643,-88.7812706
71300050107.0,0,0.03368150915912737,41.160354,-89.838177
71300060106.0,1,0.09500505531664083,40.386087,-88.2623993
71300060204.0,0,0.0457304942871359,40.2355378,-88.3932676
71300090105.0,1,0.11972876193133163,40.223357,-88.7199457
71300090204.0,0,0.027888885152102416,40.1879205,-88.844073
71401040111.0,0,0.014036293875982627,37.8829705,-90.5512938
71402010201.0,0,0.061472505573068735,40.1069109,-88.288244
80101000701.0,0,0.061233764393043386,35.4502895,-90.0390354
80201000101.0,0,0.019551284805646742,34.762387,-90.3824794
80202031212.0,1,0.09156454253746149,35.2858533,-90.4106313
80202040301.0,0,0.036626336124494174,36.7032728,-89.8217228
80202040303.0,0,0.018511892283786868,36.6378686,-89.8032505
80202040615.0,0,0.04011846984389337,36.4676356,-89.7283376
80203010401.0,0,0.009132398543490875,34.8970854,-91.9202192
80203020801.0,0,0.056453971491188644,35.2454343,-91.2660733
80203020802.0,0,0.0594631214878972,35.202629,-91.3011627
80203020803.0,1,0.0652289123400366,35.1456419,-91.3530047
80203020805.0,1,0.07961468987311315,35.0716106,-91.3911384
80203020806.0,0,0.025874780455785926,34.9679197,-91.3839619
80204020303.0,1,0.07873610787656442,34.6209164,-91.8211567
80302060802.0,0,0.05426398461308974,32.7681805,-90.5099238
80302071100.0,0,0.040137474390595305,33.8679306,-90.8921703
80302090400.0,0,0.020968384996869965,32.9550734,-90.9376424
80402050302.0,0,0.06127761538449432,34.1367141,-91.8247738
80500010701.0,0,0.02539372229260474,32.9763266,-91.3605289
80500011603.0,0,0.017600736676443837,31.9656576,-91.6740366
80500020102.0,1,0.1456773877834767,33.9018043,-91.3542213
80500030201.0,0,0.01176089019726044,32.3684753,-91.1167796
80702020906.0,0,0.007275923640045195,30.3293443,-90.6368666
80703000401.0,0,0.008918762916036186,30.2299752,-91.2360073
80801020506.0,0,0.006960615025915255,30.8774551,-92.2647373
80801030303.0,0,0.009890343596767426,30.0289757,-91.9668591
90100030205.0,1,0.0931161142559276,48.1487513,-100.5670199
90100040305.0,1,0.06573737642071091,48.8053229,-99.8266811
90100040604.0,1,0.19500242972956014,48.4193691,-99.8543956
90100040605.0,1,0.3896988491304375,48.3473914,-99.979587
90100040702.0,0,0.05378558850583158,48.9567862,-100.1195854
90201030206.0,0,0.03345189785490683,46.6433541,-95.6347418
90201050102.0,1,0.21336485878940445,46.340617,-97.92559
90201050506.0,1,0.2829472005380405,46.1425799,-97.3248764
90201050802.0,1,0.3944506511580276,46.064396,-96.9183146
90201051003.0,1,0.27112408458599024,46.4580893,-96.8270769
90201070401.0,1,0.5782638917951637,47.2146879,-97.5286263
90201080904.0,1,0.5486123613385887,47.3121058,-96.3203035
90201090605.0,1,0.13819520084593245,47.4469273,-97.0095137
90202010201.0,1,0.22058780672593506,48.7051379,-99.268282
90202010304.0,1,0.30633794693636557,48.5077676,-99.2427038
90202011007.0,1,0.645128851288731,48.3688182,-98.5995004
90202011201.0,1,0.29929548771074915,48.1190851,-99.0069237
90202011304.0,1,0.4031221021643774,48.0971835,-98.1803101
90202020300.0,1,0.1768919550908265,47.8812166,-100.1159967
90202020803.0,1,0.2720243089201691,47.8716642,-99.4587866
90202030203.0,1,0.2384535879384629,47.8522528,-98.5058805
90202030505.0,1,0.08352365432386323,47.4315182,-98.0424366
90202030803.0,1,0.1157505479716723,47.5397401,-98.3794372
90202040606.0,1,0.11525222066298905,46.8117497,-96.9052699
90203080102.0,1,0.269742914017845,48.3423813,-97.9059225
90203080201.0,1,0.23492967734966566,48.4428145,-98.2040326
90203150207.0,1,0.16813501024470104,48.9530189,-99.3630724
90203160501.0,1,0.5113041445095396,48.7968224,-98.4126381
