HUC_12,PAGC,PFOR,NATMedium,RNS45,rBUFF45,WaterbodyArea,Ag_N_Leachate,WELL_DEPTH,TRANS,Pred_Viol_Prob_SW,Pred_Viol_Prob_GW,AWD_MGAL,pred_pOx_1,LONG,RO_0013,ET_0013,StrL,TD_N_T,AWD_REDN_T,TD_S_T,FP_PFOR,FP_PWETL,FP_M2WATER,FP_PSHRUB
10300031501.0,0.9631187,61.0414658,74.84000421038803,0.088859357168596,19.7959652,0.165135525785435,8.68178654525,186.4157693481445,62.747779615773936,0.115138102353248,0.267999321343511,0.0,0.47611,-69.6614354,0.17659315869945,0.553896616895994,46272.4293914,5.054112787202265,1.105923030640863,1.67112318237754,32.3395996,45.366169,3439800.0,1.5554116
10300031804.0,8.9510469,50.4104881,89.75999950580444,0.048479015673291,28.1785145,1.396688138348251,3.52456227532,293.72981290464054,83.6559019916246,0.099486971503532,0.232462423355283,0.0,0.5746203703703704,-69.3209081,0.230719480358186,0.607094111767682,33700.6642359,4.296158778211241,0.995810127295988,1.342831968090895,1.4775016,97.4479523,990000.0,0.0223864
10600010204.0,0.0,60.9458733,79.11000015564562,0.066788376164008,12.7207375,0.14539332443594,17.9007931839,249.13715533356165,94.11192870151515,0.086054324043815,0.221231193149807,0.0,0.3923507462686567,-70.2075449,0.281846117279301,0.593660070283993,61215.3415171,5.173523758090433,0.988213369094091,1.684087203427676,9.1136284,83.555481,99000.0,0.1666111
10600021006.0,0.0,62.800087,79.83999981336899,0.139653475103904,14.5845604,4.910808233578376,6.90486962626,252.30474061232343,80.58782965702649,0.102995795753949,0.228137410728726,0.0,0.6058269230769231,-70.7446819,0.216593885670106,0.612690927765586,30936.0121406,5.262336079622655,1.025070032821867,1.661414211703569,19.5388718,72.7756424,4559400.0,0.4433934
10600030102.0,0.0122336,53.3656425,66.92000022924215,0.145780694218303,12.7022905,1.191047208282037,15.4811787249,258.21588548024494,126.98661233700945,0.117753647914937,0.332721246131198,0.000186,0.3300364583333333,-70.5350491,0.1976819192144,0.60787133872509,84552.8084352,5.368017055967646,0.942706960205548,2.17548147609262,22.2913208,59.0796013,564300.0,0.2211166
10600031102.0,0.0207676,52.2496376,80.84000036320141,0.147193713645059,11.8510647,2.583358554412631,4.75585274454,266.1132698541955,106.33650499122032,0.096579850913309,0.229647590208804,0.0,0.3948524844720497,-70.6289889,0.19304112945054,0.593994578377145,138849.396762,5.087914204006178,1.004058210821649,2.357559926100438,5.0323429,70.4034653,2094300.0,0.1041552
10700040402.0,1.4834739,42.0897141,48.81000139724513,0.150516147717841,9.5837679,6.188599089112914,28.4337128442,313.17876499577574,67.70708705111228,0.182563312130941,0.455168140652648,0.01404,0.5594358552631579,-71.5579001,0.230479044218858,0.614549711701416,133505.80636,7.653741861960017,1.445825489546248,2.226621916467249,31.7155762,47.7104149,3359700.0,0.2149844
10801030703.0,8.6824093,56.0453949,90.62000148389434,0.108776575686008,12.5566282,1.096504065327881,24.4176178608,389.1867817555825,19.33808106436145,0.147130645727251,0.309269955900605,0.007171,0.5239665354330709,-72.0299558,0.136389443982546,0.569695618928679,104256.668966,7.2009379862911,2.655744855813563,1.799191263041375,11.4104137,16.4944649,4037400.0,0.9184092
10801060406.0,0.8279301,79.6443634,90.57999849090108,0.153095339466801,14.4379377,1.433347871325587,20.5478544266,345.91599345411,16.239869790884445,0.075897566009158,0.099792398317913,0.0,0.5590256410256411,-72.2611895,0.17187852221866,0.588249340312172,163560.781761,6.042330277234575,1.401089035164686,1.568078904789016,27.526556,35.4021263,531000.0,0.3793627
11000010202.0,0.0305144,63.0858421,57.51999990842616,0.141455120834366,17.1943989,7.59332868451407,25.5041089596,315.59100430253625,70.94980631595817,0.17013637961734,0.382952562722845,0.0,0.5852753623188406,-71.9348099,0.225936607114579,0.604732183666972,49846.9567536,8.50467935409407,1.369069713717825,1.97562931179739,31.6374969,60.2046852,2502000.0,0.3708099
20200060205.0,1.7307149,37.5204849,48.66999995143943,0.124852498924622,8.9173107,1.810791436376741,45.6021637944,83.79676431417465,217.6213061334548,0.215858526412524,0.304903710347165,0.0,0.4509609375,-73.9233906,0.150878305916917,0.560736602625331,23892.2205595,8.298193448077415,2.439320897490996,1.978561188594,21.5353756,55.8533936,1000800.0,0.0182349
20301030701.0,0.0,9.7828131,0.0,0.486797757061746,12.9585943,0.743156618682212,2.18604637003,242.39190823424093,405.5593877986004,0.35111725118865,0.483177259294009,0.0,0.559514705882353,-74.1443666,0.259288921711906,0.602590868249536,44303.5565757,7.809024509692925,2.201288480879314,2.189284154271245,4.2910752,49.2249947,309600.0,0.0163159
20301040101.0,0.0356045,14.9409294,30.119998512416096,0.6745449756597,8.1016893,0.636114783871429,0.827188490977,215.23317128961733,341.27965178742795,0.367127358963573,0.412981750742468,0.0,0.5798096590909091,-74.3003311,0.41502447349509,0.560146489708694,43212.6658829,8.186924845540617,2.028395645338967,2.466436703829251,13.9727058,27.9704514,416700.0,0.1627645
