HUC_12,target,pred,pred_proba,LAT,LONG
120800060306.0,1,1,0.9235673987319049,33.1222326,-102.6238306
101600061002.0,0,0,0.04668640964030965,44.7330561,-98.3055761
180201590201.0,0,0,0.04375082481086032,39.4970252,-121.6262955
10900010602.0,0,0,0.009087542519104094,42.1208418,-71.3809122
51202010607.0,0,0,0.05786465251721221,40.1587015,-86.1696399
51201100406.0,0,1,0.09164174207464669,40.1026116,-86.747386
170102150303.0,0,0,0.015914109583795945,48.6334861,-116.9645626
102901110403.0,0,0,0.014384137887819198,38.3392628,-92.3014572
40500030603.0,0,0,0.02284233186410213,42.2182792,-85.6162091
102702020201.0,0,0,0.029533582742937714,40.6243731,-97.0756599
30102011003.0,0,0,0.009082554554606503,36.7474532,-77.4785074
130202030407.0,1,1,0.6932731523939633,34.802364,-106.5665228
160202040101.0,0,0,0.03179642367540364,40.4776522,-112.0365012
121002010407.0,0,0,0.01019607311310465,29.8870416,-98.2540164
170501140704.0,1,1,0.9276948663345818,43.7926015,-116.9067253
150200050207.0,0,0,0.05025156236380218,34.321986,-109.9409468
101800090306.0,1,1,0.6813818395627854,42.2407162,-104.3219128
80401030807.0,0,0,0.0076186798541660015,33.9275365,-93.140545
111102070503.0,1,1,0.7091154868504442,34.4166877,-92.0356803
180400011402.0,0,0,0.022036748481619642,37.3951307,-120.4375768
101800080304.0,0,0,0.028452813289535372,42.5531766,-105.386715
170900120301.0,0,0,0.0584720823749076,45.6510303,-122.5827452
180201620302.0,0,0,0.016898995774219765,38.7608439,-122.6795572
40400010602.0,0,0,0.03169275986293864,41.6558173,-87.0362431
121101060701.0,0,0,0.013993808954424867,29.3759888,-99.4423971
30401030502.0,0,0,0.0200001706183782,35.5973464,-79.9883944
20401010305.0,0,0,0.011524228503389172,42.0036418,-75.3971483
180703040501.0,0,0,0.025178655884309856,33.0179061,-116.6366862
170603061103.0,0,0,0.02174281327374926,46.5600485,-116.7343121
70802090803.0,0,0,0.030941488281143736,41.3695042,-91.538867
20502040301.0,0,0,0.014763510202413775,41.0188758,-77.3116199
102901030107.0,0,0,0.015462583034188588,38.0158583,-94.6883817
100200081102.0,0,0,0.030419971204972453,45.8839066,-111.0757225
110702070806.0,0,0,0.012226447476064098,37.0380657,-94.5921078
101301030306.0,0,0,0.04394348732171308,47.1266504,-99.6037876
30502070502.0,0,0,0.006978605535011063,33.1311825,-80.9346429
160102010403.0,0,0,0.023022275850573707,42.262504,-111.252419
20403020103.0,0,0,0.008994438682186842,39.5667273,-74.9446248
150100080108.0,0,0,0.03750170712662377,37.2498183,-112.8755184
20301040302.0,0,0,0.01784553365132091,40.3148197,-74.1166243
150301010702.0,1,1,0.693810373922091,34.6595698,-114.472256
20301030605.0,0,0,0.012425559971642235,40.7747029,-74.34333
101900030405.0,0,0,0.02990288655908255,39.9391027,-104.891021
70802050902.0,0,0,0.01576837946540824,42.4896929,-92.1852998
140300010802.0,0,1,0.08241001614336699,39.0494817,-109.1179192
170300030604.0,0,0,0.05626033637578114,46.4527488,-120.5963429
140500040302.0,0,0,0.02333750294868859,41.3566381,-107.5462942
120800040507.0,1,1,0.933855928781984,32.857718,-102.6690431
31402030402.0,0,0,0.007167147912172667,30.7619732,-86.1057583
10200040203.0,0,1,0.09892712592802615,45.1929029,-69.3101162
170200150705.0,0,0,0.05318539192075711,47.1345777,-118.7956348
180201570303.0,0,0,0.04762256957951131,39.8772436,-122.2731536
101900150301.0,0,0,0.017626175534771138,41.1560517,-104.5134189
50200010204.0,0,0,0.02294810492643647,38.9624708,-80.0607785
170402190705.0,0,1,0.0699984632334478,43.0900134,-114.4795238
110702090303.0,0,0,0.010511805593072857,36.3685984,-94.4417996
110702090601.0,0,0,0.00798791045295427,36.1619584,-94.967588
170402210503.0,0,0,0.041952943889920435,43.2904558,-114.0524897
40500012205.0,0,0,0.023214023612589216,41.6281569,-86.240922
80702040501.0,0,0,0.006166358307106972,30.4534738,-90.3978491
30602030308.0,0,0,0.006441613907986336,32.2603396,-81.7889566
150100010504.0,0,1,0.07516754194313971,36.4035109,-111.8993496
20600020103.0,0,0,0.010635105461100554,39.6104303,-76.0405009
120800030307.0,1,1,0.8910650612434027,32.7050185,-102.7662224
50500070605.0,0,0,0.020961977680934246,38.5171206,-80.8445243
110100030904.0,0,0,0.010455059386857975,36.1951235,-93.0383546
150301030405.0,0,0,0.04080402244218373,34.9163827,-114.0442665
150702030401.0,0,1,0.1379562995164852,32.1531703,-112.9563805
40500040604.0,0,0,0.05551699712770514,42.7745963,-84.2338026
101800100203.0,0,0,0.02689596711829906,41.0077104,-106.1294471
40500040501.0,0,0,0.045953720867904016,42.5731974,-84.3362756
101800090303.0,1,1,0.6784012617078166,42.2254573,-104.276208
20600050201.0,0,0,0.011856693037219954,39.0403866,-75.6515911
101900080306.0,0,1,0.0638047938608056,40.502571,-104.6275894
20403010605.0,0,0,0.008577417585968654,39.7606408,-74.649027
20802060203.0,0,0,0.010459165292048048,37.3799021,-77.1594206
71200060703.0,0,0,0.020578044535911603,42.9203427,-88.2816688
160501020506.0,0,1,0.1219356566574589,39.5515031,-119.8250658
121101070204.0,0,0,0.020350582958314673,29.2862995,-99.1439381
100200071505.0,1,1,0.6421184339577746,45.8302315,-111.5435457
102600040504.0,0,0,0.046977564197593885,38.6376399,-101.3257958
170402090104.0,0,0,0.024726167376720114,42.453675,-112.8235676
150503020308.0,0,1,0.07257578974818577,32.3275294,-110.9716494
140801070302.0,0,0,0.029509553804820954,37.2435862,-108.6984778
150701020905.0,0,1,0.1286722225640041,33.7428704,-112.2994888
50302020404.0,0,0,0.03212878044440106,39.1296455,-81.7764345
160203010905.0,1,1,0.8403119397513691,38.8326553,-114.0340043
110200030305.0,0,0,0.014374783368448359,38.7345706,-104.7647206
101702010206.0,0,0,0.017957857034425057,45.3725554,-97.1481192
101402020807.0,1,1,0.5889997417132035,43.6474961,-101.559724
110100011301.0,0,0,0.0076600871170514305,36.2283301,-93.3315948
180300060805.0,1,1,0.5563020654908711,36.1287797,-119.3123134
150400050703.0,1,1,0.8025215962216239,32.7692469,-109.8132573
111303040102.0,0,0,0.007914825836186941,34.4777218,-96.8730182
30801011406.0,0,0,0.007498401683913627,28.7236089,-81.4400724
70802080904.0,0,0,0.010449779981370975,41.8392403,-92.127921
130500032410.0,0,0,0.03829307933592621,32.6315015,-106.5126426
180300090206.0,0,0,0.04970007829640208,36.5995747,-119.7487758
20200070202.0,0,0,0.018701210638185025,41.2087073,-74.4201961
140802020301.0,0,0,0.037911895050097476,37.2868757,-108.6670429
170103060101.0,0,0,0.017431795290242073,47.1046466,-116.8125526
102400080402.0,0,0,0.015266059212367244,39.9683707,-95.7121026
31300040805.0,0,0,0.006841955830753661,30.75901,-85.0112824
71401050402.0,0,0,0.013866582982420906,37.6454694,-89.7199655
130402080205.0,0,0,0.020625487677474852,30.2083876,-102.4286642
30101060203.0,0,0,0.009594981168517782,36.6454162,-78.1502277
120100040805.0,0,0,0.007218502217818829,31.6757296,-93.8194805
20402030802.0,0,0,0.016652519682979244,40.4127105,-75.5982523
101000042706.0,0,0,0.0238025786138093,47.8692547,-103.9934004
20801020204.0,0,0,0.008980982831222598,37.6054855,-76.6570376
102901050407.0,0,0,0.01196022249586931,38.0468062,-93.664537
110901060602.0,0,0,0.010574370349292456,35.5841935,-100.9293298
170501140409.0,0,1,0.12002432589248703,43.7499025,-116.6467925
20502061002.0,0,0,0.011061751180724612,40.9860264,-77.1409349
20801090307.0,0,0,0.012405237845012459,38.5736514,-75.791198
50901020202.0,0,0,0.009761926532577375,37.9775109,-82.264014
150601050311.0,1,1,0.6678785440879348,34.0119354,-111.3401855
170701030505.0,0,0,0.030428573826228558,45.5826507,-118.7192661
101800090903.0,1,1,0.6026326361690718,41.841329,-103.310382
70802050906.0,0,0,0.016372920489580525,42.462422,-92.2959445
130202020403.0,1,1,0.8015981607999529,35.6437702,-106.7604488
110100050406.0,0,0,0.00850495472036425,36.0162121,-92.7819585
170701040101.0,0,0,0.02034875042727914,45.234531,-119.3248812
180600150303.0,0,0,0.012828892788167508,37.070135,-121.9216382
180101100406.0,1,1,0.5836927191057215,38.9790403,-123.0389098
90201010303.0,1,1,0.903829719560885,45.9048021,-96.9411993
71200070605.0,0,0,0.01898390043713774,41.5060517,-88.6675031
31101010602.0,0,0,0.00732770729534757,29.1095592,-82.6811695
20801110703.0,0,0,0.008974148043959919,37.7325407,-75.7825904
170402190305.0,0,0,0.01851403858511293,43.6794715,-114.3649135
40500070104.0,0,0,0.03143463671976931,42.5979644,-84.8949673
180600051505.0,0,0,0.04669443210210643,36.5482753,-121.4371218
120903010105.0,0,0,0.016680488511760252,30.2669087,-97.4313966
10300032404.0,1,1,0.7716414546357139,44.4233532,-69.711442
170103041004.0,0,0,0.014930373625080477,47.2672511,-116.4557652
80802020105.0,0,0,0.011583904075928152,30.0910962,-92.530198
150502030503.0,0,1,0.0674753100259677,32.4557078,-110.4672796
60102060101.0,0,0,0.009135097432158294,36.9861153,-82.7309189
140802010509.0,1,1,0.829642781381774,37.2551499,-109.418362
71200061102.0,0,0,0.017369879836892463,42.3273359,-88.2665621
120702030501.0,0,0,0.008984950306505772,30.9589498,-98.0715632
121101050404.0,0,0,0.018483941840723137,27.8549623,-99.4136148
170900100401.0,1,1,0.8004856046028258,45.5106268,-122.8188753
20700040805.0,0,0,0.015552226321480464,39.8788304,-77.6843816
140100030301.0,0,0,0.011667262472228424,39.59757,-106.5018415
160203090803.0,0,1,0.10787436396812487,41.8511087,-112.458317
30102050702.0,0,0,0.025768636337497586,36.4191592,-76.4500962
30401011102.0,0,0,0.028009115835738577,36.1751347,-80.6771878
180400012003.0,0,1,0.13023321182879588,36.8131546,-120.6838063
180102080203.0,0,0,0.01812843647027991,41.358314,-122.9136373
180201280603.0,0,0,0.012974751012026728,39.0067916,-120.9572395
100901010108.0,0,0,0.020342047728742325,44.9393084,-107.2212734
170900120103.0,0,0,0.04962054089026881,45.48091,-122.5558296
10500021505.0,1,1,0.9165643872951362,44.4465331,-68.6177382
41401020704.0,0,0,0.013976829413297328,43.5621967,-75.9796762
70801070802.0,0,0,0.020696135017498462,41.1149191,-91.7215521
110902030305.0,0,0,0.012875580962516604,35.2087208,-97.0824069
181002010604.0,0,1,0.193519686290577,33.9051431,-116.315218
10802040207.0,0,0,0.010888611199485051,42.2611977,-72.2698387
11000030201.0,0,0,0.0139200970106108,41.4909763,-72.004842
20600030805.0,0,0,0.011804546325750153,39.4994696,-76.8775327
30202010303.0,0,0,0.016526620883249132,36.0800271,-79.0544253
140801050907.0,0,1,0.07521180891588605,36.6372579,-109.0806705
40103011007.0,0,0,0.013388815676462914,46.73109,-90.897138
170102140501.0,0,0,0.016246189652071485,48.0641365,-117.0671498
170103050102.0,0,0,0.02659968024135632,47.7758756,-116.6755403
30203020206.0,0,0,0.010311277221787487,34.6956544,-77.3030992
140802041304.0,0,0,0.03537297395614301,36.6826268,-110.4720504
102001011002.0,0,0,0.024491096422451886,40.7402716,-99.3133346
170402120103.0,0,0,0.018960430992877034,42.8014133,-113.9909083
180902050705.0,0,1,0.3472154923779511,35.7029315,-117.7484555
170602030507.0,0,0,0.019144741112406136,45.3772289,-113.942111
31300040803.0,0,0,0.006216351548870366,30.9079125,-84.9700943
30501011304.0,0,0,0.012391067633438377,35.3444371,-81.0496168
70801010603.0,0,0,0.010634515959868134,41.4453389,-90.7770238
51100040501.0,0,0,0.017454257826171694,37.5384077,-86.8129978
20501050507.0,0,0,0.03384803728071023,41.9836606,-76.8864422
10600020605.0,0,0,0.009483566445327638,43.8155407,-71.2675853
31300051305.0,0,0,0.006348408268810075,32.6004947,-84.1505628
40500040702.0,0,0,0.04992256368826418,42.5841255,-84.6198625
120302021204.0,0,0,0.006193263174179987,30.6187211,-94.7875483
180701030106.0,0,0,0.04091084697987144,34.2574496,-119.0609513
150200040302.0,0,0,0.026476678350652552,34.9729444,-108.3146326
120100020801.0,0,0,0.007698836297593937,32.1537052,-94.6784504
71300050204.0,0,0,0.0231452488395784,41.0545102,-89.7045926
140500060202.0,0,0,0.03114950722697699,39.7948726,-108.402524
160203040503.0,0,0,0.03658778745277487,40.5618735,-112.4735478
170800020506.0,0,0,0.021492540655135756,45.8375703,-122.537301
140401040109.0,0,0,0.03517727337699228,42.4172844,-109.6130113
20600060401.0,0,0,0.01183387610196803,39.0477164,-76.8057476
170501240404.0,0,0,0.04094781834766561,44.6344738,-116.3624924
70600040706.0,0,0,0.01670137614620184,42.9482239,-91.7638333
180102090502.0,0,0,0.013537761434923926,41.5816026,-123.6299535
121003020205.0,0,0,0.008088870049991903,29.6990392,-99.0549973
102600080603.0,0,0,0.011866479316210474,39.2178954,-97.4072698
101800070406.0,0,0,0.055441629953751285,42.8128232,-106.636533
51402030504.0,0,0,0.008736570282742724,37.4334107,-88.3576269
102701020203.0,0,0,0.013036458073500836,39.5882075,-96.2239655
180500030301.0,0,0,0.016657666864913958,37.1790864,-121.8300256
80702050402.0,0,0,0.006046042270752826,30.4676834,-90.247344
